0,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,
0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
0,2,2,2,86,2,2,2,2,2,2,2,2,2,2,45,45,45,2,2,2,0
0,2,2,87,87,87,2,2,2,2,2,2,2,2,2,2,2,2,2,2,45,0
0,2,2,87,87,87,2,2,2,89,89,89,2,2,2,2,2,2,2,2,45,0
0,2,2,87,87,87,2,2,2,2,2,2,2,2,2,2,2,2,2,2,45,0
0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
0,2,2,2,2,85,85,85,2,2,85,85,85,2,2,85,85,85,2,2,2,0
0,2,2,2,2,41,41,41,2,2,41,41,41,2,2,41,41,41,2,2,2,0
0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
0,2,2,2,2,85,85,85,2,2,85,85,85,2,2,85,85,85,2,2,2,0
0,2,2,2,2,41,41,41,2,2,41,41,41,2,2,41,41,41,2,2,2,0
0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
0,0,0,0,23,24,0,0,0,0,0,0,0,0,0,0,25,26,0,0,0,0
