,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,
,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
0,4,45,45,45,45,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
0,4,45,45,4,4,4,4,4,4,4,4,7,4,7,4,4,4,4,4,4,4,45,4,45,4,0
0,4,4,4,4,4,4,45,4,4,4,43,43,43,43,43,4,4,4,4,45,4,45,4,45,4,0
0,4,4,4,4,4,4,45,4,4,7,43,43,43,43,43,7,4,4,4,45,4,45,4,45,4,0
0,4,4,4,4,4,4,45,4,4,4,43,43,43,43,43,4,4,4,4,45,4,45,4,45,4,0
0,4,4,41,4,4,4,4,4,4,4,4,7,4,7,4,4,4,4,4,4,4,4,4,45,4,0
0,4,4,41,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
0,4,4,41,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
0,4,4,41,4,4,4,4,4,4,4,4,7,4,7,4,4,4,4,4,4,4,4,4,45,4,0
0,4,4,41,4,4,4,45,4,4,4,43,43,43,43,43,4,4,4,4,45,4,45,4,45,4,0
0,4,4,41,4,4,4,45,4,4,7,43,43,43,43,43,7,4,4,4,45,4,45,4,45,4,0
0,41,41,41,4,4,4,45,4,4,4,43,43,43,43,43,4,4,4,4,45,4,45,4,45,4,0
0,4,4,4,4,4,4,4,4,4,4,4,7,4,7,4,4,4,4,4,4,4,45,4,45,4,0
0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
0,0,0,0,0,17,18,0,0,0,0,0,0,0,0,0,0,0,0,19,1200,0,0,0,0,0,0
