0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,30,30,30,30,30,2111,2112,30,30,30,30,30,0
0,0,0,20,20,20,20,20,21011,21012,20,20,20,20,20,0
0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,0
0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,0
0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,0
0,0,0,4,4,4,4,37,0,0,4,4,4,4,4,0
0,0,0,8,4,4,4,0,0,0,4,4,4,4,4,0
0,0,0,0,4,4,4,38,0,0,4,4,4,4,4,0
0,0,0,0,4,4,4,39,0,0,4,4,4,4,4,0
0,0,0,0,4,4,4,999,999,999,4,4,4,4,4,0
0,0,0,530,4,4,4,4,4,4,4,4,4,4,4,0
0,0,0,4,4,4,4,34,34,0,4,4,4,4,4,0
0,0,0,4,4,4,4,999,35,999,4,4,4,4,4,0
0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
