0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0
0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0
0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0
0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,51,0
0,0,0,8,50,50,50,53,50,53,50,50,50,50,53,50,53,50,50,50,50,50,0,0
0,0,0,0,50,50,54,0,0,0,50,50,50,54,0,0,0,50,50,50,50,50,50,0
0,0,0,0,50,50,0,0,0,0,50,50,50,0,0,0,0,50,50,50,50,50,50,0
0,0,0,0,50,50,50,53,50,53,50,50,50,50,53,50,53,50,50,50,50,50,50,0
0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,55,50,50,0
0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,55,53,50,0
0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,50,50,0
0,0,0,45,50,50,50,53,50,53,50,50,50,50,53,50,53,50,50,50,50,50,50,0
0,0,0,0,50,50,54,0,0,0,50,50,50,54,0,0,0,50,50,50,50,50,50,0
0,0,0,0,50,50,0,0,0,0,50,50,50,0,0,0,0,50,50,50,50,50,50,0
0,0,0,0,50,50,50,53,50,53,50,50,50,50,53,50,53,50,50,50,50,50,50,0
0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0
0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0
0,0,0,0,0,1101,1102,0,0,0,0,0,0,0,0,0,0,0,0,1103,1104,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
