0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,30,30,30,30,30,30,30,30,30,30,1111,1112,30,30,30,30,30,30,30,30,30,30,30,30,30,0
0,0,0,20,20,20,20,20,20,20,20,20,20,11011,11012,20,20,20,20,20,20,20,20,20,20,20,20,20,0
0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
0,0,0,4,4,4,4,65,4,4,65,4,4,4,4,4,4,65,4,4,65,4,4,65,4,4,4,4,0
0,0,0,4,4,4,61,0,0,61,0,0,4,4,4,4,61,0,0,61,0,0,61,0,0,4,4,4,0
0,0,0,4,4,4,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,4,4,4,0
0,0,0,4,4,4,4,66,4,4,66,4,4,4,4,4,4,66,4,4,66,4,4,66,4,4,4,4,0
0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
0,0,0,4,4,4,4,65,4,4,65,4,4,4,4,4,4,65,4,4,65,4,4,65,4,4,4,4,0
0,0,0,4,4,4,61,0,0,61,0,0,4,4,4,4,61,0,0,61,0,0,61,0,0,4,4,4,0
0,0,0,4,4,4,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,4,4,4,0
0,0,0,4,4,4,4,66,4,4,66,4,4,4,4,4,4,66,4,4,66,4,4,66,4,4,4,4,0
0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
