8,8,8,8,8,8,8,8,8,8,8,8,8,8,81,81,81,8,8,8
8,8,87,87,87,8,8,8,8,8,8,8,8,8,8,8,8,8,8,81
8,86,87,87,87,8,8,8,89,89,89,8,8,8,8,8,8,8,8,81
8,8,87,87,87,8,8,8,8,8,8,8,8,8,8,8,8,8,8,81
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,82,82,82,8,8,82,82,82,8,8,82,82,82,8,8,8
8,8,8,8,83,83,83,8,8,83,83,83,8,8,83,83,83,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
84,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
84,8,8,8,82,82,82,8,8,82,82,82,8,8,82,82,82,8,8,8
84,8,8,8,83,83,83,8,8,83,83,83,8,8,83,83,83,8,8,8
84,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
,,,23,24,,,,,,,,,,,25,26,,,
