49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
4,46,46,46,46,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,46,46,4,4,4,4,4,4,4,4,42,4,42,4,4,4,4,4,4,4,45,4,45,4
4,4,4,4,4,4,45,4,4,4,43,43,43,43,43,4,4,4,4,45,4,45,4,45,4
4,4,4,4,4,4,45,4,4,42,43,43,43,43,43,42,4,4,4,45,4,45,4,45,4
4,4,4,4,4,4,45,4,4,4,43,43,43,43,43,4,4,4,4,45,4,45,4,45,4
4,4,41,4,4,4,4,4,4,4,4,42,4,42,4,4,4,4,4,4,4,4,4,45,4
4,4,41,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,41,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,41,4,4,4,4,4,4,4,4,42,4,42,4,4,4,4,4,4,4,4,4,45,4
4,4,41,4,4,4,45,4,4,4,43,43,43,43,43,4,4,4,4,45,4,45,4,45,4
4,4,41,4,4,4,45,4,4,42,43,43,43,43,43,42,4,4,4,45,4,45,4,45,4
41,41,41,4,4,4,45,4,4,4,43,43,43,43,43,4,4,4,4,45,4,45,4,45,4
4,4,4,4,4,4,4,4,4,4,4,42,4,42,4,4,4,4,4,4,4,45,4,45,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,,,,17,18,,,,,,,,,,,,,19,1200,,,,,
